prefecture,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Yamaguchi,2020/03/08,-8,3,7,-19,-2,4
Yamaguchi,2020/03/09,-8,2,12,-14,-2,4
Yamaguchi,2020/03/10,-7,-1,-20,-19,-5,5
Yamaguchi,2020/03/11,-2,2,10,-12,-2,3
Yamaguchi,2020/03/12,0,5,20,-10,-3,3
Yamaguchi,2020/03/13,-2,3,8,-16,-3,4
Yamaguchi,2020/03/14,-2,2,-5,-15,-6,4
Yamaguchi,2020/03/15,-6,4,6,-13,-3,4
Yamaguchi,2020/03/16,-5,2,2,-13,-1,3
Yamaguchi,2020/03/17,-2,2,25,-8,-2,3
Yamaguchi,2020/03/18,-4,2,19,-8,-1,2
Yamaguchi,2020/03/19,8,5,24,2,-4,1
Yamaguchi,2020/03/20,16,8,61,-1,-50,14
Yamaguchi,2020/03/21,-3,5,44,3,-6,3
Yamaguchi,2020/03/22,-8,1,3,-4,-2,3
Yamaguchi,2020/03/23,-2,2,29,-4,-2,3
Yamaguchi,2020/03/24,0,2,34,-7,-3,2
Yamaguchi,2020/03/25,4,6,34,-3,-3,2
Yamaguchi,2020/03/26,1,4,0,-9,-4,3
Yamaguchi,2020/03/27,-12,-5,-33,-22,-6,6
Yamaguchi,2020/03/28,-7,2,-32,-19,-4,5
Yamaguchi,2020/03/29,-4,9,49,-6,1,3
Yamaguchi,2020/03/30,-2,5,21,-10,-5,4
Yamaguchi,2020/03/31,-1,3,18,-12,-5,4
Yamaguchi,2020/04/01,-9,-1,-15,-20,-7,5
Yamaguchi,2020/04/02,-1,6,52,-12,-8,3
Yamaguchi,2020/04/03,-6,4,38,-18,-7,5
Yamaguchi,2020/04/04,-7,7,55,-18,-5,5
Yamaguchi,2020/04/05,-10,8,57,-20,-6,5
Yamaguchi,2020/04/06,-7,7,42,-16,-6,4
Yamaguchi,2020/04/07,-8,6,38,-17,-8,5
Yamaguchi,2020/04/08,-11,4,20,-21,-11,5
Yamaguchi,2020/04/09,-11,3,23,-21,-10,5
Yamaguchi,2020/04/10,-13,3,8,-27,-9,6
Yamaguchi,2020/04/11,-16,5,6,-33,-15,8
Yamaguchi,2020/04/12,-33,-11,-62,-54,-15,11
Yamaguchi,2020/04/13,-23,-4,-31,-31,-9,8
Yamaguchi,2020/04/14,-15,2,21,-23,-9,6
Yamaguchi,2020/04/15,-13,9,9,-26,-9,6
Yamaguchi,2020/04/16,-16,5,17,-28,-11,7
Yamaguchi,2020/04/17,-23,1,-16,-39,-12,10
Yamaguchi,2020/04/18,-27,0,-22,-44,-14,11
Yamaguchi,2020/04/19,-32,-5,-21,-49,-16,11
Yamaguchi,2020/04/20,-21,1,-3,-35,-11,9
Yamaguchi,2020/04/21,-20,-1,8,-33,-14,9
Yamaguchi,2020/04/22,-23,-2,-4,-36,-15,9
Yamaguchi,2020/04/23,-23,-3,-6,-37,-16,10
Yamaguchi,2020/04/24,-23,1,-7,-41,-16,11
Yamaguchi,2020/04/25,-27,-1,-7,-47,-20,12
Yamaguchi,2020/04/26,-33,-5,-12,-52,-20,11
Yamaguchi,2020/04/27,-21,2,7,-37,-16,10
Yamaguchi,2020/04/28,-16,2,11,-36,-17,9
Yamaguchi,2020/04/29,-14,-3,21,-49,-60,18
Yamaguchi,2020/04/30,-16,5,4,-40,-23,12
Yamaguchi,2020/05/01,-22,2,-1,-46,-27,15
Yamaguchi,2020/05/02,-31,-2,-12,-52,-24,13
Yamaguchi,2020/05/03,-45,-21,-68,-71,-29,14
Yamaguchi,2020/05/04,-11,1,15,-59,-69,25
Yamaguchi,2020/05/05,-9,-1,38,-55,-69,25
Yamaguchi,2020/05/06,-18,-5,17,-57,-66,24
Yamaguchi,2020/05/07,-18,1,-1,-39,-16,10
Yamaguchi,2020/05/08,-21,0,-4,-41,-16,11
Yamaguchi,2020/05/09,-29,-9,-47,-54,-15,13
Yamanashi,2020/02/15,-1,0,5,-5,5,0
Yamanashi,2020/02/16,-6,-3,-33,-13,-1,2
Yamanashi,2020/02/17,-1,-2,4,2,0,1
Yamanashi,2020/02/18,1,2,1,1,0,1
Yamanashi,2020/02/19,0,2,9,5,0,0
Yamanashi,2020/02/20,2,6,0,2,1,0
Yamanashi,2020/02/21,-2,-2,7,3,0,1
Yamanashi,2020/02/22,-1,4,-8,3,-1,1
Yamanashi,2020/02/23,12,12,47,30,1,0
Yamanashi,2020/02/24,28,8,87,33,-53,13
Yamanashi,2020/02/25,2,6,-9,-1,0,1
Yamanashi,2020/02/26,-1,2,-14,-6,0,1
Yamanashi,2020/02/27,1,5,-4,-4,1,1
Yamanashi,2020/02/28,0,12,-3,-12,1,2
Yamanashi,2020/02/29,-4,10,-20,-25,5,3
Yamanashi,2020/03/01,-6,7,-5,-22,5,3
Yamanashi,2020/03/02,-7,0,-28,-25,-2,4
Yamanashi,2020/03/03,-2,6,2,-16,0,3
Yamanashi,2020/03/04,-7,1,-18,-23,-4,4
Yamanashi,2020/03/05,-6,2,-12,-19,-2,3
Yamanashi,2020/03/06,-7,-2,6,-15,-3,4
Yamanashi,2020/03/07,-9,1,-7,-23,-3,4
Yamanashi,2020/03/08,-20,-4,-57,-38,-7,7
Yamanashi,2020/03/09,-9,-2,3,-18,-3,4
Yamanashi,2020/03/10,-10,-2,-35,-25,-5,6
Yamanashi,2020/03/11,-2,3,9,-11,-5,4
Yamanashi,2020/03/12,-3,5,7,-11,-3,3
Yamanashi,2020/03/13,-7,0,9,-15,-3,4
Yamanashi,2020/03/14,-17,-6,-53,-36,-9,8
Yamanashi,2020/03/15,-7,5,0,-17,-2,4
Yamanashi,2020/03/16,-6,-2,-14,-18,-3,4
Yamanashi,2020/03/17,-2,4,5,-12,-3,3
Yamanashi,2020/03/18,-3,4,11,-8,-2,3
Yamanashi,2020/03/19,7,7,12,2,-4,1
Yamanashi,2020/03/20,19,13,84,25,-52,16
Yamanashi,2020/03/21,3,11,64,15,-7,3
Yamanashi,2020/03/22,-3,8,27,8,-2,2
Yamanashi,2020/03/23,-2,-1,-3,-11,-3,3
Yamanashi,2020/03/24,1,3,6,-9,-4,3
Yamanashi,2020/03/25,2,7,27,-1,-3,2
Yamanashi,2020/03/26,4,12,32,-1,-3,2
Yamanashi,2020/03/27,-5,2,8,-13,-5,5
Yamanashi,2020/03/28,-12,2,-23,-35,-5,6
Yamanashi,2020/03/29,-29,-13,-56,-51,-9,8
Yamanashi,2020/03/30,-4,0,-15,-23,-6,5
Yamanashi,2020/03/31,-2,5,-10,-25,-5,5
Yamanashi,2020/04/01,-16,-3,-39,-33,-9,6
Yamanashi,2020/04/02,-11,4,8,-24,-7,5
Yamanashi,2020/04/03,-12,1,22,-24,-8,6
Yamanashi,2020/04/04,-15,6,25,-31,-8,7
Yamanashi,2020/04/05,-19,5,3,-35,-8,7
Yamanashi,2020/04/06,-10,3,5,-27,-9,6
Yamanashi,2020/04/07,-12,3,1,-30,-10,6
Yamanashi,2020/04/08,-17,0,2,-32,-11,6
Yamanashi,2020/04/09,-19,0,-2,-34,-10,7
Yamanashi,2020/04/10,-21,-1,-5,-39,-11,9
Yamanashi,2020/04/11,-26,-1,-18,-52,-17,11
Yamanashi,2020/04/12,-32,-5,-40,-60,-15,10
Yamanashi,2020/04/13,-35,-18,-63,-53,-14,12
Yamanashi,2020/04/14,-16,3,-8,-39,-11,8
Yamanashi,2020/04/15,-17,5,7,-35,-12,8
Yamanashi,2020/04/16,-20,2,-15,-40,-12,8
Yamanashi,2020/04/17,-25,-2,-19,-47,-14,11
Yamanashi,2020/04/18,-44,-17,-69,-71,-23,16
Yamanashi,2020/04/19,-33,-1,-4,-52,-16,10
Yamanashi,2020/04/20,-29,-9,-47,-53,-16,12
Yamanashi,2020/04/21,-24,-2,-12,-43,-16,10
Yamanashi,2020/04/22,-26,-5,-13,-44,-18,11
Yamanashi,2020/04/23,-27,-3,-17,-45,-17,11
Yamanashi,2020/04/24,-29,-3,-20,-50,-18,13
Yamanashi,2020/04/25,-35,-7,-35,-62,-22,13
Yamanashi,2020/04/26,-37,-8,-35,-65,-20,11
Yamanashi,2020/04/27,-25,-7,-27,-52,-18,12
Yamanashi,2020/04/28,-19,0,-19,-49,-20,10
Yamanashi,2020/04/29,-21,-7,-8,-59,-59,19
Yamanashi,2020/04/30,-21,3,-14,-50,-26,13
Yamanashi,2020/05/01,-25,-2,-17,-56,-30,17
Yamanashi,2020/05/02,-37,-8,-38,-66,-26,14
Yamanashi,2020/05/03,-37,-7,-36,-67,-23,11
Yamanashi,2020/05/04,-18,-8,-26,-66,-71,28
Yamanashi,2020/05/05,-15,-2,-4,-61,-71,27
Yamanashi,2020/05/06,-27,-13,-43,-68,-70,28
Yamanashi,2020/05/07,-23,-1,-21,-48,-19,11
Yamanashi,2020/05/08,-27,-5,-12,-50,-20,13
Yamanashi,2020/05/09,-33,-9,-43,-64,-15,12
