Date,Location,Positive,Tested,Hosp_require,Hosp_mild,Hosp_severe,Hosp_unknown,Discharged,Fatal
2020/03/22,Airport,16,1173,4,4,0,0,0,0
2020/03/22,Returnee,15,829,0,0,0,0,15,0
2020/03/23,Domestic,1057,18322,610,423,54,187,260,41
2020/03/23,Airport,17,1189,5,5,0,0,0,0
2020/03/23,Returnee,15,829,0,0,0,0,15,0
2020/03/24,Domestic,1095,22184,629,444,55,185,285,42
2020/03/24,Airport,18,1417,4,4,0,0,1,0
2020/03/24,Returnee,15,829,0,0,0,0,15,0
2020/03/25,Domestic,1160,21266,677,474,57,203,294,43
2020/03/25,Airport,18,1426,4,4,0,0,1,0
2020/03/25,Returnee,15,829,0,0,0,0,15,0
2020/03/26,Domestic,1254,22858,706,504,56,202,343,45
2020/03/26,Airport,23,1484,9,9,0,0,1,0
2020/03/26,Returnee,15,829,0,0,0,0,15,0
2020/03/27,Domestic,1349,24663,766,563,56,203,356,46
2020/03/27,Airport,23,1513,9,9,0,0,1,0
2020/03/27,Returnee,15,829,0,0,0,0,15,0
2020/03/28,Domestic,1453,26105,875,651,60,224,388,49
2020/03/28,Airport,31,1530,30,30,0,0,1,0
2020/03/28,Returnee,15,829,0,0,0,0,15,0
2020/03/29,Domestic,1647,26401,982,659,59,323,408,52
2020/03/29,Airport,31,1530,30,30,0,0,1,0
2020/03/29,Returnee,15,829,0,0,0,0,15,0
2020/03/30,Domestic,1820,26607,1076,696,59,380,408,54
2020/03/30,Airport,31,1530,30,30,0,0,1,0
2020/03/30,Returnee,15,829,0,0,0,0,15,0
2020/03/31,Domestic,1887,30088,1125,715,59,410,408,56
2020/03/31,Airport,51,1580,50,50,0,0,1,0
2020/03/31,Returnee,15,829,0,0,0,0,15,0
2020/04/01,Domestic,2107,32002,1214,797,60,417,456,57
2020/04/01,Airport,56,1677,55,55,0,0,1,0
2020/04/01,Returnee,15,829,0,0,0,0,15,0
2020/04/02,Domestic,2306,32002,1300,882,62,418,489,60
2020/04/02,Airport,60,1679,59,59,0,0,1,0
2020/04/02,Returnee,15,829,0,0,0,0,15,0
